"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","species","source"
"Sceloporus.merriami_IUCN",0,26,356,0,0,494,9968,0,"Sceloporus merriami","IUCN"
"Sceloporus.occidentalis_IUCN",0,146,561,0,0,4599,21318,0,"Sceloporus occidentalis","IUCN"
"Sceloporus.undulatus_IUCN",0,494,415,0,0,15067,13695,0,"Sceloporus undulatus","IUCN"
"Sceloporus.variabilis_IUCN",0,47,322,53,0,752,6279,450.5,"Sceloporus variabilis","IUCN"
"Scotina.gracilipes_GBIF",0,154,2916,8,0,5236,161838,20,"Scotina gracilipes","GBIF"
"Spea.hammondii_IUCN",0,6,680,9,0,117,23460,58.5,"Spea hammondii","IUCN"
"Sphaerodactylus.gaigeae_IUCN",0,0,14,44,0,0,14,308,"Sphaerodactylus gaigeae","IUCN"
"Sphaerodactylus.klauberi_IUCN",0,0,13,47,0,0,13,376,"Sphaerodactylus klauberi","IUCN"
"Sphaerodactylus.macrolepis_IUCN",3,0,3,47,13.5,0,1.5,399.5,"Sphaerodactylus macrolepis","IUCN"
"Sphaerodactylus.nicholsi_IUCN",1,0,3,48,4.5,0,1.5,408,"Sphaerodactylus nicholsi","IUCN"
"Sphaerodactylus.roosevelti_IUCN",1,0,3,53,4.5,0,0,477,"Sphaerodactylus roosevelti","IUCN"
"Sphaerodactylus.roosevelti_GBIF",1,0,3,48,4.5,0,1.5,408,"Sphaerodactylus roosevelti","GBIF"
"Sphaerodactylus.townsendi_IUCN",1,0,3,48,4.5,0,1.5,408,"Sphaerodactylus townsendi","IUCN"
"Sphenomorphus.incognitus_IUCN",0,183,1024,5,0,3385.5,25088,2.5,"Sphenomorphus incognitus","IUCN"
"Sphenomorphus.indicus_GBIF",19,262,709,266,351.5,4585,13471,5320,"Sphenomorphus indicus","GBIF"
"Stemonyphantes.lineatus_GBIF",0,126,3184,11,0,3465,175120,176,"Stemonyphantes lineatus","GBIF"
"Takydromus.formosanus_IUCN",0,0,1879,625,0,0,43217,7500,"Takydromus formosanus","IUCN"
"Takydromus.formosanus_GBIF",0,1,1877,535,0,7.5,44109.5,6152.5,"Takydromus formosanus","GBIF"
"Takydromus.hsuehshanensis_IUCN",0,0,2009,740,0,0,48216,11100,"Takydromus hsuehshanensis","IUCN"
"Takydromus.septentrionalis_IUCN",0,319,2505,22,0,7656,78907.5,99,"Takydromus septentrionalis","IUCN"
"Takydromus.sexlineatus_IUCN",47,7,1399,1291,376,196,33576,56804,"Takydromus sexlineatus","IUCN"
"Takydromus.stejnegeri_IUCN",0,1,1874,492,0,8.5,44039,4674,"Takydromus stejnegeri","IUCN"
"Takydromus.stejnegeri_GBIF",0,1,1872,492,0,8.5,43992,4674,"Takydromus stejnegeri","GBIF"
"Tarentola.boettgeri_IUCN",0,3,1901,69,0,36,52277.5,310.5,"Tarentola boettgeri","IUCN"
"Thamnophis.elegans_IUCN",0,374,650,0,0,14212,28275,0,"Thamnophis elegans","IUCN"
"Thamnophis.ordinoides_IUCN",0,45,576,0,0,1462.5,26208,0,"Thamnophis ordinoides","IUCN"
"Thamnophis.sirtalis_IUCN",0,1144,541,0,0,49764,23263,0,"Thamnophis sirtalis","IUCN"
"Tiliqua.nigrolutea_IUCN",0,67,749,0,0,1775.5,27713,0,"Tiliqua nigrolutea","IUCN"
"Tiliqua.nigrolutea_GBIF",0,99,748,0,0,2623.5,27676,0,"Tiliqua nigrolutea","GBIF"
"Tiliqua.rugosa_IUCN",0,59,530,6,0,1239,15900,24,"Tiliqua rugosa","IUCN"
"Tiliqua.rugosa_GBIF",0,71,281,0,0,1420,7727.5,0,"Tiliqua rugosa","GBIF"
"Tlalocohyla.smithii_IUCN",1,3,375,163,1.5,25.5,7500,2119,"Tlalocohyla smithii","IUCN"
"Trapelus.savignii_IUCN",0,10,1798,0,0,175,53940,0,"Trapelus savignii","IUCN"
"Uta.stansburiana_IUCN",0,266,458,0,0,8512,15801,0,"Uta stansburiana","IUCN"
"Uta.stansburiana_GBIF",0,396,447,0,0,13464,15868.5,0,"Uta stansburiana","GBIF"
"Varanus.varius_IUCN",0,85,510,170,0,1827.5,13515,1105,"Varanus varius","IUCN"
"Varanus.varius_GBIF",0,98,420,157,0,2107,10920,1099,"Varanus varius","GBIF"
"Xantusia.riversiana_IUCN",0,2,522,0,0,35,16965,0,"Xantusia riversiana","IUCN"
"Xantusia.vigilis_IUCN",0,36,542,8,0,774,16531,20,"Xantusia vigilis","IUCN"
"Zootoca.vivipara_IUCN",0,2403,2739,0,0,123754.5,153384,0,"Zootoca vivipara","IUCN"
"Dascyllus.aruanus_GBIF",1090,122,7944,4617,34335,6893,270096,272403,"Dascyllus aruanus","GBIF"
"Engraulis.japonicus_IUCN",4,160,8541,2300,46,2800,286123.5,63250,"Engraulis japonicus","IUCN"
"Fundulus.parvipinnis_GBIF",6,0,8289,5082,87,0,256959,233772,"Fundulus parvipinnis","GBIF"
"Halichoeres.dispilus_IUCN",11,11,11772,7318,225.5,324.5,541512,270766,"Halichoeres dispilus","IUCN"
"Malacoctenus.zonifer_IUCN",3,7,14915,6873,13.5,164.5,820325,247428,"Malacoctenus zonifer","IUCN"
"Menidia.menidia_GBIF",7,42,9210,4144,105,378,331560,174048,"Menidia menidia","GBIF"
"Oncorhynchus.tshawytscha_GBIF",18,394,5509,2289,117,10441,272695.5,67525.5,"Oncorhynchus tshawytscha","GBIF"
"Periophthalmus.kalolo_GBIF",87,68,9750,10233,2871,2788,399750,501417,"Periophthalmus kalolo","GBIF"
"Plagiotremus.azaleus_IUCN",10,11,14068,6856,160,352,731536,246816,"Plagiotremus azaleus","IUCN"
"Sphoeroides.maculatus_IUCN",0,179,10214,1070,0,3759,418774,22470,"Sphoeroides maculatus","IUCN"
