"longitude","latitude","seasonal_high_temp"
-175.5,59.5,-Inf
-175.5,60.5,-Inf
-175.5,61.5,-Inf
-175.5,62.5,-Inf
-175.5,63.5,-Inf
-175.5,64.5,11.8103508511824
-175.5,65.5,15.2909847406471
-175.5,66.5,14.576877112068
-175.5,67.5,12.7675910027698
-175.5,68.5,-Inf
-175.5,69.5,-Inf
-175.5,70.5,-Inf
-175.5,71.5,-Inf
-175.5,72.5,-Inf
-175.5,73.5,-Inf
-175.5,74.5,-Inf
-175.5,75.5,-Inf
-175.5,76.5,-Inf
-175.5,77.5,-Inf
-175.5,78.5,-Inf
-175.5,79.5,-Inf
-175.5,80.5,-Inf
-175.5,81.5,-Inf
-175.5,82.5,-Inf
-175.5,83.5,-Inf
-175.5,84.5,-Inf
-175.5,85.5,-Inf
-175.5,86.5,-Inf
-175.5,87.5,-Inf
-175.5,88.5,-Inf
-175.5,89.5,-Inf
-174.5,-89.5,-22.8885150492546
-174.5,-88.5,-25.028476102863
-174.5,-87.5,-23.7114988988354
-174.5,-86.5,-21.5334345652944
-174.5,-85.5,-18.5877230707024
-174.5,-84.5,-5.59629218124208
-174.5,-83.5,-2.61563270127489
-174.5,-82.5,-3.6748900358166
-174.5,-81.5,-4.50843209361746
-174.5,-80.5,-4.882334618093
-174.5,-79.5,-4.60644099343391
-174.5,-78.5,-3.40277917193515
-174.5,-77.5,-Inf
-174.5,-76.5,-Inf
-174.5,-75.5,-Inf
-174.5,-74.5,-Inf
-174.5,-73.5,-Inf
-174.5,-72.5,-Inf
-174.5,-71.5,-Inf
-174.5,-70.5,-Inf
-174.5,-69.5,-Inf
-174.5,-68.5,-Inf
-174.5,-67.5,-Inf
-174.5,-66.5,-Inf
-174.5,-65.5,-Inf
-174.5,-64.5,-Inf
-174.5,-63.5,-Inf
-174.5,-62.5,-Inf
-174.5,-61.5,-Inf
-174.5,-60.5,-Inf
-174.5,-59.5,-Inf
-174.5,-58.5,-Inf
